2025-06-05 16:56:39 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 10.10.71.85:50000
2025-06-05 16:56:46 [virtual-24] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-05 16:57:10 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 10.10.71.85:50000
2025-06-05 16:57:16 [virtual-24] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.2, port=50001)
2025-06-05 16:57:16 [virtual-24] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-05 17:02:24 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 10.10.71.85:50000
2025-06-05 17:03:18 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 10.10.71.85:50000
2025-06-05 17:03:35 [main] INFO  c.c.datas.loadbalancer.LoadBalancer - LoadBalancer rodando em 10.10.71.85:50000
2025-06-05 17:03:47 [virtual-24] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.2, port=50001)
2025-06-05 17:03:47 [virtual-24] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-05 17:03:50 [virtual-29] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.3, port=50002)
2025-06-05 17:03:50 [virtual-29] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
2025-06-05 17:03:52 [virtual-30] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário recebeu o grupo de servidores: ServerInfo(host=230.0.0.2, port=50001)
2025-06-05 17:03:52 [virtual-30] INFO  c.c.datas.loadbalancer.LoadBalancer - Usuário desconectado ou enviou mensagem inválida.
